Year,Month,Day,Fractional year,Modulation potential [MV]
1966,1,15,1966.038356,462.1
1966,1,16,1966.041096,464.3
1966,1,17,1966.043836,458.6
1966,1,18,1966.046575,466.4
1966,1,19,1966.049315,466.3
1966,1,20,1966.052055,490.6
1966,1,21,1966.054795,520.1
1966,1,22,1966.057534,545.1
1966,1,23,1966.060274,534.1
1966,1,24,1966.063014,531.7
1966,1,25,1966.065753,527.7
1966,1,26,1966.068493,533.5
1966,1,27,1966.071233,542.2
1966,1,28,1966.073973,535.3
1966,1,29,1966.076712,554.1
1966,1,30,1966.079452,546.1
1966,1,31,1966.082192,529.1
1966,2,1,1966.084932,518
1966,2,2,1966.087671,508.3
1966,2,3,1966.090411,501.7
1966,2,4,1966.093151,504.2
1966,2,5,1966.09589,501.3
1966,2,6,1966.09863,502.3
1966,2,7,1966.10137,495.5
1966,2,8,1966.10411,487.9
1966,2,9,1966.106849,484.8
1966,2,10,1966.109589,487.2
1966,2,11,1966.112329,491.7
1966,2,12,1966.115068,502.4
1966,2,13,1966.117808,498.8
1966,2,14,1966.120548,502.4
1966,2,15,1966.123288,500.5
1966,2,16,1966.126027,496.6
1966,2,17,1966.128767,493.4
1966,2,18,1966.131507,495.9
1966,2,19,1966.134247,499.1
1966,2,20,1966.136986,526.5
1966,2,21,1966.139726,535.2
1966,2,22,1966.142466,527
1966,2,23,1966.145205,534.4
1966,2,24,1966.147945,528.5
1966,2,25,1966.150685,522.5
1966,2,26,1966.153425,511.6
1966,2,27,1966.156164,505.6
1966,2,28,1966.158904,498.9
1966,3,1,1966.161644,492.5
1966,3,2,1966.164384,484.1
1966,3,3,1966.167123,487.8
1966,3,4,1966.169863,490.5
1966,3,5,1966.172603,486.7
1966,3,6,1966.175342,483.9
1966,3,7,1966.178082,480
1966,3,8,1966.180822,479.8
1966,3,9,1966.183562,483.7
1966,3,10,1966.186301,485.6
1966,3,11,1966.189041,485.9
1966,3,12,1966.191781,485.5
1966,3,13,1966.194521,508.3
1966,3,14,1966.19726,496.5
1966,3,15,1966.2,491.2
1966,3,16,1966.20274,486.8
1966,3,17,1966.205479,480.1
1966,3,18,1966.208219,475.9
1966,3,19,1966.210959,482.7
1966,3,20,1966.213699,487.2
1966,3,21,1966.216438,489.6
1966,3,22,1966.219178,511.1
1966,3,23,1966.221918,549.8
1966,3,24,1966.224658,621.1
1966,3,25,1966.227397,608.4
1966,3,26,1966.230137,638.8
1966,3,27,1966.232877,643.4
1966,3,28,1966.235616,663
1966,3,29,1966.238356,629.4
1966,3,30,1966.241096,613.8
1966,3,31,1966.243836,593.6
1966,4,1,1966.246575,581.3
1966,4,2,1966.249315,562.9
1966,4,3,1966.252055,563.8
1966,4,4,1966.254795,565.6
1966,4,5,1966.257534,562.5
